Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Belarus,BLR,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,30.823205,30.5863126,30.45526,31.842233,42.0231841,44.8438484,44.9504697,47.4233446,46.8691706,46.6988759,39.3477492,38.0691396,39.7338355,39.7439464
Belgium,BEL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,83.601141,86.262061,86.366277,86.6440446,81.4454661,81.0024536,77.6297152,73.7080936,75.2725459,73.128901,74.0821421,75.2230161,76.8196093,73.9850756
Belize,BLZ,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,45.9600421,46.123053,46.125709,46.1286742,42.843992,43.6770108,43.3169037,43.3199875,43.6589881,44.0054261,43.9561997,43.9854124,48.5929432,50.0916047
Benin,BEN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,41.965764,42.6538004,41.5909397,41.2327711,42.6469716,40.8204781,41.7194491,42.2673155,44.2934018,45.2472224,47.6695739,47.4149409,47.1616961,47.1334148
Bermuda,BMU,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,65.9853236,65.9589828,65.9656171,65.9730272,79.658129,79.6028749,79.6220817,79.6283194,79.6625603,79.695934,79.6006175,79.6571821,74.9510215,80.0567528
Bhutan,BTN,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,59.7610769,60.5021391,61.3969587,63.7814722,59.5033367,58.4359592,59.9085054,60.7370501,61.8106419,60.7638148,60.7464143,62.936546,61.7391132,61.7489169
Bolivia,BOL,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,45.3984074,46.1441847,46.5251981,48.176534,43.8181258,42.9388516,44.8708347,45.2529642,44.2577026,42.4377306,42.1659752,42.0373238,42.9101056,43.3803612
Bosnia and Herzegovina,BIH,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,37.5624712,37.1032657,39.8385143,40.8764808,46.7141784,42.3437382,43.2921786,42.188083,38.3790948,35.9073884,37.6300761,35.000461,36.8357723,38.7918855
Botswana,BWA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,61.6696456,61.9017624,62.0834707,61.9897019,61.4141667,62.4125588,61.7655901,59.4217418,58.0832291,59.1830198,57.3754551,59.1679235,60.2725227,61.8596214
Brazil,BRA,Government Effectiveness - Governance score (0-100),GOV_WGI_GE.SC,51.1910415,50.6454423,51.2325195,54.0327461,50.9451174,49.360564,49.3855865,49.2990606,47.3268322,52.1733223,49.6410809,50.0063582,46.7668678,46.1562672
